student_id,student_name,student_class,student_gender,student_age,student_height,student_score
1,Priya Chopra,Class 12B,M,14,154.5,0.65
2,Suresh Singh,Class 10C,M,14,126.4,49.4
3,Kavya Patel,Class 3C,M,14,109.9,87.23
4,Sanjay Kumar,Class 1A,M,8,199.4,89.32
5,Arun Singh,Class 8B,F,11,188.5,66.13
6,Vijay Menon,Class 4B,Female,6,114,96.17
7,Arjun Iyer,Class 8B,M,16,192.5,76.83
8,Nikhil Rao,Class 2A,F,17,191.1,67.97
9,Ankit Nair,Class 5B,F,16,189.8,50.95
10,Geeta Bajaj,Class 10C,M,13,--,76.2
11,Sanjay Shukla,Class 12A,m,18,156.7,97.8
12,Prakash Iyer,Class 1C,F,7,106.9,65.99
13,Lakshmi Reddy,Class 8B,F,5,151.4,62.51
14,Pooja Sharma,Class 9C,F,17,122.7,66.36
15,Sarah Iyer,Class 12B,F,10,122.5,22.02
16,Chen Chopra,Class 4C,F,6,152.7,64.96
17,Kavya Singh,Class 5B,F,11,142.4,98.42
18,Vijay Mishra,Class 9A,M,8,150,8.35
19,Sunita Nair,Class 7A,F,7,104,25.11
20,Chen Nair,Class 6C,M,13,101.5,40.64
21,Asha Sinha,Class 4B,M,15,114,3.74
22,Priya Gupta,Class 10A,F,5,105.7,15.74
23,Tanya Joshi,Class 6A,M,8,179.2,62.8
24,Asha Rao,Class 1C,F,16,164.6,0.93
25,Sarah Tiwari,Class 3B,F,15,139.4,63.36
26,Sneha Chopra,Class 4C,F,11,129.8,13.62
27,Sanjay Iyer,Class 6A,F,15,193.2,88.97
28,Ravi Nair,Class 6B,M,0,,7.52
29,Rahul Tiwari,,F,12,147.6,25.71
30,Rohan Das,Class 1C,M,13,115.5,81.08
31,Ravi Tiwari,Class 3B,F,7,111.3,42.95
32,Sneha Joshi,Class 6C,F,8,182.1,39.85
33,Mohammed Pillai,Class 3A,1,16,102.4,48.71
34,Sanjay Gupta,Class 1B,M,5,131.4,
35,Arun Dubey,Class 2A,X,12,130.8,78.1
36,Priya Bajaj,Class 1A,M,5,169.8,77.36
37,Neha Bajaj,Class 8C,F,6,140.8,42.04
38,Tanya Sharma,Class 4B,F,16,192.3,58.41
39,James Gupta,Class 10A,F,8,173.6,61.93
40,Rohan Dubey,Class 6B,F,18,142.1,53.28
41,Lakshmi Verma,Class 3C,M,13,192.9,20.01
42,Geeta Nair,Class 2B,M,,175.1,17.59
43,James Dubey,Class 12B,F,17,197.5,58.73
44,Sneha Khan,Class 11B,M,5,134.2,54.61
45,Kavya Reddy,Class 12C,F,13,115.9,83.99
46,Prakash Khan,Class 5B,F,8,181.6,87.56
47,Kiran Patel,Class 12B,F,6,106.2,
48,Arun Gupta,Class 12B,F,5,172.4,53.41
49,David Reddy,Class 4B,M,15,,86.03
50,Meera Khan,Class 7C,F,11,153.9,78.12
51,Sarah Joshi,Class 3B,F,7,146.2,63.2
52,Priya Shukla,Class 5B,F,16,131.1,90.8
53,Sunita Tiwari,Class 7C,F,10,198.7,72.89
54,Asha Iyer,Class 5A,M,17,186.4,12.4
55,James Shukla,Class 6C,F,16,174.8,41.25
56,Prakash Dubey,Class 3B,M,10,142,89.16
57,Tanya Pillai,Class 8C,F,9,104.3,pass
58,Vijay Iyer,Class 10C,F,6,157,32.5
59,Prakash Khan,Class 7A,M,14,139.5,44.44
60,Tanya Sinha,Class 5A,F,12,109.3,58.16
61,Ravi Verma,Class 3B,M,9,128.3,pass
62,Kavya Verma,Class 10B,F,15,137.4,46.59
63,James Sinha,Class 3A,F,5,106.5,15.17
64,Chen Shukla,Class 4A,M,9,120.5,99.62
65,Neha Joshi,Class 12A,F,9,109.9,8.12
66,Mohammed Dubey,Class 12B,M,16,106.1,52.42
67,Suresh Shukla,Class 7A,M,15,111.5,14.22
68,Sneha Menon,Class 9B,F,11,122.9,2.07
69,Kiran Joshi,Class 8A,F,12,122.9,88.77
70,Divya Verma,Class 2A,F,12,192.3,85.78
71,Sarah Mishra,Class 10A,M,10,169.4,55.01
72,Arjun Tiwari,Class 10C,F,12,192.8,97.31
73,Divya Chopra,Class 12A,F,17,N/A,97.39
74,Neha Joshi,Class 10C,M,13,147.2,59.94
75,Kavya Joshi,Class 1A,F,12,145.5,57.18
76,Rahul Nair,Class 8C,M,9,196.7,47.94
77,Suresh Gupta,Class 4A,F,12,114.4,78.15
78,Ravi Bajaj,Class 11B,M,9,109.8,69.4
79,Divya Joshi,Class 4C,F,14,tall,15.8
80,Meera Sinha,Class 9A,F,16,127.4,4.9
81,Geeta Rao,Class 6B,M,15,136.5,41.55
82,Sanjay Iyer,Class 11A,F,6,172.4,abc
83,Asha Iyer,Class 3A,F,6,164.9,99.59
84,Divya Bajaj,Class 4A,F,9,195.1,54.45
85,Rohan Rao,Class 8B,F,7,191.3,12.88
86,Sunita Pillai,Class 1B,M,18,187,0.28
