student_id,student_name,student_class,student_gender,student_age,student_height,student_score
1,Priya Chopra,Class 12B,M,14,154.5,0.65
2,Arun Singh,Class 8B,F,11,188.5,66.13
3,Arjun Iyer,Class 8B,M,16,192.5,76.83
4,Ankit Nair,Class 5B,F,16,189.8,50.95
5,Geeta Bajaj,Class 10C,M,13,--,76.2
6,Sanjay Shukla,Class 12A,m,18,156.7,97.8
7,Sarah Iyer,Class 12B,F,10,122.5,22.02
8,Kavya Singh,Class 5B,F,11,142.4,98.42
9,Chen Nair,Class 6C,M,13,101.5,40.64
10,Priya Gupta,Class 10A,F,5,105.7,15.74
11,Asha Rao,Class 1C,F,16,164.6,0.93
12,Sanjay Iyer,Class 6A,F,15,193.2,88.97
13,Ravi Nair,Class 6B,M,0,,7.52
14,Rohan Das,Class 1C,M,13,115.5,81.08
15,Sneha Joshi,Class 6C,F,8,182.1,39.85
16,Sanjay Gupta,Class 1B,M,5,131.4,
17,Neha Bajaj,Class 8C,F,6,140.8,42.04
18,  James Gupta  ,Class 10A,F,8,173.6,61.93
19,Geeta Nair,Class 2B,M,,175.1,17.59
20,Kavya Reddy,Class 12C,F,13,115.9,83.99
21,Kiran Patel,Class 12B,F,6,106.2,
22,Arun Gupta,Class 12B,F,5,172.4,53.41
23,Meera Khan,Class 7C,F,11,153.9,78.12
24,Priya Shukla,Class 5B,F,16,131.1,90.8
25,Prakash Dubey,Class 3B,M,10,142.0,89.16
26,Vijay Iyer,Class 10C,F,6,157.0,32.5
27,Tanya Sinha,Class 5A,F,12,109.3,58.16
28,Ravi Verma,Class 3B,M,9,128.3,pass
29,James Sinha,Class 3A,F,5,106.5,15.17
30,Neha Joshi,Class 12A,F,9,109.9,8.12
31,Suresh Shukla,Class 7A,M,15,111.5,14.22
32,Sneha Menon,Class 9B,F,11,122.9,2.07
33,Sarah Mishra,Class 10A,M,10,169.4,55.01
34,  Arjun Tiwari  ,Class 10C,F,12,192.8,97.31
35,Neha Joshi,Class 10C,M,13,147.2,59.94
36,Kavya Joshi,Class 1A,F,12,145.5,57.18
37,Suresh Gupta,Class 4A,F,12,114.4,78.15
38,Ravi Bajaj,Class 11B,M,9,109.8,69.4
39,Divya Joshi,Class 4C,F,14,tall,15.8
40,Meera Sinha,Class 9A,F,16,127.4,4.9
41,Geeta Rao,Class 6B,M,15,136.5,41.55
42,Sanjay Iyer,Class 11A,F,6,172.4,abc
43,Asha Iyer,Class 3A,F,6,164.9,99.59
