student_id,student_name,student_class,student_gender,student_age,student_height,student_score
1,PRIYA CHOPRA,Class 12B,M,14,154.5,0.65
2,ARUN SINGH,Class 8B,F,11,188.5,66.13
3,ARJUN IYER,Class 8B,M,16,192.5,76.83
4,ANKIT NAIR,Class 5B,F,16,189.8,50.95
5,GEETA BAJAJ,Class 10C,M,13,--,76.2
6,SANJAY SHUKLA,Class 12A,m,18,156.7,97.8
7,SARAH IYER,Class 12B,F,10,122.5,22.02
8,KAVYA SINGH,Class 5B,F,11,142.4,98.42
9,CHEN NAIR,Class 6C,M,13,101.5,40.64
10,PRIYA GUPTA,Class 10A,F,5,105.7,15.74
11,ASHA RAO,Class 1C,F,16,164.6,0.93
12,SANJAY IYER,Class 6A,F,15,193.2,88.97
13,RAVI NAIR,Class 6B,M,,,7.52
14,ROHAN DAS,Class 1C,M,13,115.5,81.08
15,SNEHA JOSHI,Class 6C,F,8,182.1,39.85
16,SANJAY GUPTA,Class 1B,M,5,131.4,
17,Neha Bajaj,Class 8C,F,6,140.8,42.04
18,  JAMES GUPTA  ,Class 10A,F,8,173.6,61.93
19,GEETA NAIR,Class 2B,M,,175.1,17.59
20,KAVYA REDDY,Class 12C,F,13,115.9,83.99
21,KIRAN PATEL,Class 12B,F,6,106.2,
22,ARUN GUPTA,Class 12B,F,5,172.4,53.41
23,MEERA KHAN,Class 7C,F,11,153.9,78.12
24,PRIYA SHUKLA,Class 5B,F,16,131.1,90.8
25,PRAKASH DUBEY,Class 3B,M,10,142.0,89.16
26,VIJAY IYER,Class 10C,F,6,157.0,32.5
27,TANYA SINHA,Class 5A,F,12,109.3,58.16
28,RAVI VERMA,Class 3B,M,9,128.3,pass
29,JAMES SINHA,Class 3A,F,5,106.5,15.17
30,NEHA JOSHI,Class 12A,F,9,109.9,8.12
31,SURESH SHUKLA,Class 7A,M,15,111.5,14.22
32,SNEHA MENON,Class 9B,F,11,122.9,2.07
33,SARAH MISHRA,Class 10A,M,10,169.4,55.01
34,  ARJUN TIWARI  ,Class 10C,F,12,192.8,97.31
35,NEHA JOSHI,Class 10C,M,13,147.2,59.94
36,Kavya Joshi,Class 1A,F,12,145.5,57.18
37,SURESH GUPTA,Class 4A,F,12,114.4,78.15
38,RAVI BAJAJ,Class 11B,M,9,109.8,69.4
39,DIVYA JOSHI,Class 4C,F,14,tall,15.8
40,MEERA SINHA,Class 9A,F,16,127.4,4.9
41,GEETA RAO,Class 6B,M,15,136.5,41.55
